ClientId;DataÚltimaTransição;Dias Inativos;Churn_Sim_Nao;Score_Credito;Estado;G_nero;Idade;Tempo_Cliente_Meses;Limite_Credito_Mercado;Qte_Categorias;Usa_Cartao_Credito;Programa_Fidelidade; Sum_Acumulado 
345619;24/10/2019;6;0;585;Minas Gerais;Masculino;36;5;1460,5;2;0;0; $360,10 
345620;22/10/2019;8;0;788;São Paulo;Feminino;33;5;0;2;0;0; $487,41 
345621;22/07/2019;100;1;655;Minas Gerais;Masculino;41;8;1255,6;1;0;0; $683,50 
345622;03/09/2019;57;1;601;Minas Gerais;Masculino;42;1;985;1;1;0; $166,73 
345623;09/10/2019;21;0;619;São Paulo;Masculino;43;1;1252,1;1;1;1; $472,54 
345624;06/10/2019;24;0;656;São Paulo;Masculino;45;5;1278,6;1;1;0; $362,95 
345625;17/10/2019;13;0;725;Minas Gerais;Masculino;19;0;758,9;1;0;0; $190,06 
345626;29/07/2019;93;1;511;Rio de Janeiro;Feminino;66;4;0;1;1;0; $6,85 
345627;24/10/2019;6;0;614;São Paulo;Masculino;51;4;406,9;1;1;1; $194,90 
345628;17/10/2019;13;0;742;Minas Gerais;Masculino;35;5;1368,6;1;0;0; $352,12 
345629;19/10/2019;11;0;687;Minas Gerais;Feminino;27;9;1523,3;2;0;0; $527,06 
345630;11/10/2019;19;0;555;Rio de Janeiro;Masculino;33;1;560,8;2;0;0; $744,99 
345631;12/10/2019;18;0;684;Rio de Janeiro;Masculino;56;8;787,1;1;1;1; $414,16 
345632;13/10/2019;17;0;603;Minas Gerais;Masculino;26;4;1091,7;1;1;1; $386,84 
345633;25/10/2019;5;0;751;Minas Gerais;Feminino;36;6;1698,3;2;1;1; $115,66 
345634;03/10/2019;27;0;581;Minas Gerais;Feminino;34;1;1016,3;1;1;0; $460,13 
345635;21/10/2019;9;0;735;Minas Gerais;Masculino;43;10;1231,8;2;1;1; $819,47 
345636;18/10/2019;12;0;661;Minas Gerais;Feminino;35;5;1507,3;2;0;1; $473,57 
345637;06/10/2019;24;0;675;São Paulo;Feminino;21;8;983,7;1;1;0; $75,85 
345638;15/09/2019;45;1;738;Minas Gerais;Masculino;58;2;1337,5;4;1;0; $118,22 
345639;28/10/2019;2;0;813;São Paulo;Masculino;29;6;0;1;1;0; $141,47 
345640;02/10/2019;28;0;657;Rio de Janeiro;Feminino;37;0;1636,1;1;0;1; $184,18 
345641;05/10/2019;25;0;604;Minas Gerais;Feminino;25;5;1577,8;2;1;1; $243,45 
345642;09/10/2019;21;0;519;São Paulo;Masculino;36;9;0;2;0;1; $606,51 
345643;11/10/2019;19;0;735;São Paulo;Feminino;21;1;1787,2;2;1;0; $93,28 
345644;27/10/2019;3;0;664;São Paulo;Masculino;55;8;0;2;1;1; $579,84 
345645;14/10/2019;16;0;678;São Paulo;Feminino;32;9;0;1;1;1; $617,54 
345646;03/10/2019;27;0;757;Rio de Janeiro;Masculino;33;5;772,5;1;0;1; $809,33 
345647;28/10/2019;2;0;416;Minas Gerais;Feminino;41;10;1221,9;2;1;0; $409,59 
345648;20/10/2019;10;0;665;São Paulo;Feminino;34;1;966,5;2;0;0; $714,22 
345649;08/08/2019;83;1;777;São Paulo;Feminino;32;2;0;1;1;0; $568,58 
345650;28/10/2019;2;0;543;São Paulo;Feminino;36;3;0;2;0;0; $108,41 
345651;13/10/2019;17;0;506;São Paulo;Feminino;34;4;903,1;1;1;1; $663,48 
345652;20/10/2019;10;0;493;São Paulo;Feminino;46;4;0;2;1;0; $7,95 
345653;14/10/2019;16;0;652;Rio de Janeiro;Feminino;75;10;0;2;1;1; $477,82 
345654;17/08/2019;74;1;750;Rio de Janeiro;Masculino;22;3;1216,8;1;1;0; $536,01 
345655;20/10/2019;10;0;729;São Paulo;Masculino;30;9;0;2;1;0; $632,79 
345656;24/07/2019;98;1;646;São Paulo;Feminino;46;4;0;3;1;0; $388,55 
345657;17/10/2019;13;0;635;Minas Gerais;Feminino;28;3;816,2;2;1;1; $653,30 
345658;26/07/2019;96;1;647;Rio de Janeiro;Feminino;44;5;0;3;1;1; $725,86 
345659;18/10/2019;12;0;808;São Paulo;Masculino;45;7;1186,3;2;1;0; $613,05 
345660;11/10/2019;19;0;524;São Paulo;Feminino;36;10;0;2;1;0; $456,73 
345661;03/10/2019;27;0;769;São Paulo;Masculino;29;8;0;2;1;1; $717,88 
345662;10/10/2019;20;0;730;Rio de Janeiro;Masculino;42;4;0;2;0;1; $358,26 
345663;17/10/2019;13;0;515;Rio de Janeiro;Masculino;35;10;1762,7;1;0;1; $505,32 
345664;24/10/2019;6;0;773;Rio de Janeiro;Masculino;41;9;1028,3;1;0;1; $269,15 
345665;04/10/2019;26;0;814;Minas Gerais;Masculino;29;8;970,9;2;1;1; $821,98 
345666;02/10/2019;28;0;710;Rio de Janeiro;Masculino;22;8;0;2;0;0; $415,19 
345667;07/10/2019;23;0;413;São Paulo;Masculino;34;9;0;2;0;0; $27,23 
345668;14/10/2019;16;0;665;São Paulo;Feminino;40;6;0;1;1;1; $674,37 
345669;16/10/2019;14;0;623;São Paulo;Feminino;44;6;0;2;0;0; $696,51 
345670;23/10/2019;7;0;738;São Paulo;Masculino;31;9;826,7;1;1;0; $174,88 
345671;10/10/2019;20;0;528;Rio de Janeiro;Masculino;36;7;0;2;1;0; $252,24 
345672;26/08/2019;65;1;670;Rio de Janeiro;Feminino;65;1;0;1;1;1; $740,23 
345673;19/08/2019;72;1;622;Rio de Janeiro;Feminino;46;4;1070,7;2;1;1; $129,10 
345674;28/10/2019;2;0;582;Minas Gerais;Masculino;32;1;889,4;1;1;1; $41,89 
345675;28/10/2019;2;0;785;Minas Gerais;Feminino;36;2;998,1;1;0;1; $154,07 
345676;15/10/2019;15;0;605;Rio de Janeiro;Masculino;33;5;1500,9;1;0;0; $299,43 
345677;16/07/2019;106;1;479;Minas Gerais;Masculino;35;9;928,3;1;1;0; $414,37 
345678;14/10/2019;16;0;685;Minas Gerais;Masculino;30;3;905,4;1;0;1; $262,85 
345679;06/10/2019;24;0;538;Minas Gerais;Masculino;39;7;1080,6;2;1;0; $113,46 
345680;29/10/2019;1;0;562;São Paulo;Masculino;42;2;1002,4;1;0;0; $361,66 
345681;12/10/2019;18;0;675;Rio de Janeiro;Masculino;36;9;1061,9;1;0;1; $95,81 
345682;30/07/2019;92;1;721;Minas Gerais;Masculino;28;9;1544,8;2;0;1; $422,09 
345683;23/10/2019;7;0;628;Minas Gerais;Feminino;30;9;1323,5;2;1;1; $309,04 
345684;25/10/2019;5;0;668;Minas Gerais;Feminino;37;6;1678,6;1;1;0; $481,83 
345685;09/10/2019;21;0;506;São Paulo;Feminino;41;1;0;2;1;0; $132,36 
345686;26/09/2019;34;1;524;Minas Gerais;Feminino;31;8;1078,2;1;1;0; $832,19 
345687;29/10/2019;1;0;699;Minas Gerais;Masculino;34;4;1851,7;2;1;0; $503,48 
345688;24/10/2019;6;0;828;São Paulo;Masculino;34;8;1294,3;2;0;0; $158,88 
345689;29/10/2019;1;0;674;Rio de Janeiro;Masculino;39;6;1201,9;1;0;0; $417,21 
345690;17/10/2019;13;0;656;São Paulo;Feminino;39;6;0;2;1;0; $587,79 
345691;25/10/2019;5;0;684;Minas Gerais;Feminino;48;10;1263,8;1;1;1; $825,54 
345692;07/10/2019;23;0;625;São Paulo;Feminino;28;3;0;1;0;0; $765,19 
345693;04/07/2019;118;1;432;São Paulo;Masculino;42;9;1526;1;1;0; $459,44 
345694;22/07/2019;100;1;549;São Paulo;Feminino;52;1;0;1;0;1; $35,98 
345695;24/09/2019;36;1;625;Minas Gerais;Masculino;56;0;1485,1;1;1;0; $195,10 
345696;04/10/2019;26;0;828;São Paulo;Feminino;41;7;0;2;1;0; $714,08 
345697;18/10/2019;12;0;770;São Paulo;Masculino;24;9;1018,3;1;1;0; $696,90 
345698;26/10/2019;4;0;758;São Paulo;Feminino;34;3;0;2;1;1; $517,61 
345699;01/10/2019;29;0;795;Minas Gerais;Feminino;33;9;1308,6;1;1;1; $478,90 
345700;19/10/2019;11;0;687;São Paulo;Masculino;38;9;1225,7;1;1;1; $148,37 
345701;15/10/2019;15;0;686;São Paulo;Masculino;25;1;0;2;0;1; $68,58 
345702;17/10/2019;13;0;789;Minas Gerais;Masculino;39;7;1248,3;2;1;1; $518,38 
345703;14/10/2019;16;0;589;Minas Gerais;Feminino;50;5;1449;2;1;1; $145,59 
345704;28/10/2019;2;0;461;Minas Gerais;Feminino;34;5;636,6;1;0;1; $699,10 
345705;13/10/2019;17;0;637;São Paulo;Masculino;40;2;1334,6;1;0;1; $388,19 
345706;04/07/2019;118;1;584;Rio de Janeiro;Feminino;48;2;2131,5;1;1;0; $313,17 
345707;18/08/2019;73;1;579;Rio de Janeiro;Feminino;35;1;1294,9;2;0;1; $35,80 
345708;13/10/2019;17;0;756;Minas Gerais;Masculino;44;10;1374,5;1;1;0; $789,77 
345709;10/10/2019;20;0;663;São Paulo;Masculino;34;7;0;2;1;1; $751,78 
345710;23/10/2019;7;0;682;São Paulo;Feminino;43;5;1258,5;1;1;1; $805,49 
345711;12/07/2019;110;1;793;Rio de Janeiro;Masculino;52;2;0;1;1;0; $663,02 
345712;19/07/2019;103;1;691;São Paulo;Feminino;31;5;409,2;1;1;0; $525,89 
345713;29/10/2019;1;0;485;Rio de Janeiro;Feminino;21;5;1131,6;1;1;1; $225,59 
345714;19/10/2019;11;0;635;Rio de Janeiro;Feminino;29;8;1383;2;1;0; $587,81 
345715;26/10/2019;4;0;650;São Paulo;Masculino;37;5;1069,7;1;0;0; $102,06 
345716;16/10/2019;14;0;735;São Paulo;Masculino;44;9;1206,8;1;1;0; $311,82 
345717;23/10/2019;7;0;416;São Paulo;Masculino;32;0;0;2;0;1; $3,66 
345718;27/10/2019;3;0;754;Rio de Janeiro;Feminino;32;7;0;2;1;0; $373,00 
345719;08/08/2019;83;1;535;São Paulo;Feminino;48;9;0;1;1;0; $624,55 
345720;20/10/2019;10;0;716;Rio de Janeiro;Masculino;42;8;0;2;1;0; $753,34 
345721;17/10/2019;13;0;539;São Paulo;Masculino;37;2;1276,1;1;1;0; $411,03 
345722;03/10/2019;27;0;614;São Paulo;Feminino;43;6;0;2;1;1; $454,34 
345723;28/08/2019;63;1;706;Rio de Janeiro;Masculino;57;7;0;1;1;0; $74,75 
345724;18/10/2019;12;0;758;São Paulo;Feminino;33;7;0;2;0;0; $345,82 
345725;02/10/2019;28;0;586;Rio de Janeiro;Feminino;28;2;0;2;1;1; $383,61 
345726;22/10/2019;8;0;646;São Paulo;Feminino;73;6;972,6;1;0;1; $436,33 
345727;30/10/2019;0;0;631;Minas Gerais;Feminino;33;4;1232,5;1;0;0; $469,53 
345728;12/10/2019;18;0;717;Rio de Janeiro;Feminino;22;6;1010,6;1;0;1; $352,91 
345729;07/10/2019;23;0;684;São Paulo;Masculino;30;2;0;2;1;0; $347,81 
345730;24/10/2019;6;0;800;São Paulo;Feminino;49;7;1080,1;1;0;0; $196,35 
345731;14/10/2019;16;0;721;Rio de Janeiro;Feminino;36;2;0;2;1;1; $445,74 
345732;06/08/2019;85;1;683;Rio de Janeiro;Masculino;29;0;1337;1;1;0; $231,59 
345733;12/10/2019;18;0;660;Minas Gerais;Masculino;31;9;1251,9;2;1;1; $582,81 
345734;04/08/2019;87;1;704;Minas Gerais;Feminino;24;7;1130,3;1;1;0; $677,10 
345735;04/10/2019;26;0;615;Rio de Janeiro;Feminino;41;9;1090,1;1;1;0; $818,75 
345736;09/08/2019;82;1;667;Rio de Janeiro;Feminino;39;2;0;2;1;0; $169,67 
345737;09/10/2019;21;0;682;Minas Gerais;Masculino;24;9;579,3;2;0;0; $221,39 
345738;01/10/2019;29;0;484;São Paulo;Feminino;29;4;1301,1;1;1;0; $683,41 
345739;10/10/2019;20;0;628;Minas Gerais;Masculino;27;5;958,3;2;1;0; $649,99 
345740;11/07/2019;111;1;480;Minas Gerais;Masculino;44;10;1296,1;1;1;0; $22,80 
345741;22/10/2019;8;0;578;São Paulo;Masculino;30;4;1694,6;1;1;0; $467,45 
345742;29/10/2019;1;0;512;São Paulo;Masculino;40;5;0;2;1;1; $610,24 
345743;20/10/2019;10;0;484;Rio de Janeiro;Feminino;35;7;1338,7;1;1;1; $113,69 
345744;27/10/2019;3;0;510;São Paulo;Feminino;30;0;0;2;1;1; $543,97 
345745;21/10/2019;9;0;606;Minas Gerais;Masculino;36;5;1904,8;2;0;0; $747,30 
345746;24/10/2019;6;0;597;Rio de Janeiro;Feminino;40;8;1019,9;1;0;1; $394,89 
345747;14/09/2019;46;1;754;Minas Gerais;Feminino;55;3;1616,1;1;1;0; $33,67 
345748;16/10/2019;14;0;850;Rio de Janeiro;Feminino;45;2;1223,1;1;1;1; $81,18 
345749;29/10/2019;1;0;510;São Paulo;Masculino;65;2;0;2;1;1; $200,30 
345750;17/10/2019;13;0;778;Minas Gerais;Feminino;45;1;1621,5;2;1;0; $727,21 
345751;08/10/2019;22;0;636;São Paulo;Masculino;42;2;0;2;1;1; $231,13 
345752;18/08/2019;73;1;804;São Paulo;Feminino;50;4;0;1;1;1; $35,61 
345753;27/10/2019;3;0;514;São Paulo;Masculino;32;8;0;2;1;0; $399,40 
345754;21/10/2019;9;0;730;São Paulo;Feminino;39;1;990,1;1;1;0; $812,27 
345755;08/10/2019;22;0;525;Rio de Janeiro;Feminino;37;0;0;1;0;1; $548,01 
345756;10/10/2019;20;0;616;Rio de Janeiro;Masculino;30;5;0;2;0;1; $817,12 
345757;01/10/2019;29;0;687;Minas Gerais;Feminino;34;7;1113,9;2;1;0; $619,02 
345758;02/07/2019;120;1;715;São Paulo;Feminino;41;8;562,1;2;0;0; $387,43 
345759;01/10/2019;29;0;512;São Paulo;Feminino;36;3;843,3;2;1;0; $73,65 
345760;14/10/2019;16;0;479;São Paulo;Masculino;40;1;0;2;0;0; $479,15 
345761;03/10/2019;27;0;601;São Paulo;Masculino;32;8;930,1;1;1;0; $362,32 
345762;23/10/2019;7;0;580;Rio de Janeiro;Masculino;29;9;617,1;2;1;0; $533,66 
345763;10/10/2019;20;0;807;São Paulo;Masculino;35;3;1747,9;1;1;1; $2,50 
345764;27/10/2019;3;0;616;Rio de Janeiro;Feminino;32;6;0;2;1;1; $179,17 
345765;21/10/2019;9;0;721;Minas Gerais;Masculino;37;3;1077,2;1;1;1; $660,80 
345766;11/10/2019;19;0;501;São Paulo;Masculino;57;10;0;2;1;1; $199,36 
345767;01/10/2019;29;0;521;São Paulo;Masculino;35;6;964,2;1;1;0; $43,70 
345768;03/10/2019;27;0;850;Rio de Janeiro;Masculino;30;2;1410,4;1;1;1; $24,91 
345769;28/10/2019;2;0;759;São Paulo;Masculino;42;4;1054,2;1;0;1; $505,87 
345770;09/09/2019;51;1;516;Rio de Janeiro;Masculino;50;5;0;1;0;1; $608,94 
345771;19/09/2019;41;1;711;São Paulo;Feminino;38;2;1290,2;2;1;1; $59,90 
345772;01/10/2019;29;0;512;Rio de Janeiro;Masculino;33;3;1766,7;1;1;0; $394,46 
345773;03/10/2019;27;0;550;São Paulo;Masculino;37;3;0;1;1;1; $748,63 
345774;03/08/2019;88;1;608;Rio de Janeiro;Feminino;41;3;897,6;1;0;0; $830,44 
345775;28/10/2019;2;0;618;São Paulo;Masculino;34;5;1349,5;1;1;1; $633,14 
345776;09/08/2019;82;1;643;São Paulo;Masculino;45;5;0;1;1;0; $593,81 
345777;23/10/2019;7;0;671;São Paulo;Masculino;45;2;1063,8;1;0;1; $659,44 
345778;30/10/2019;0;0;689;Minas Gerais;Masculino;33;2;1618,1;2;1;0; $705,76 
345779;29/10/2019;1;0;603;São Paulo;Masculino;31;8;0;2;1;1; $707,98 
345780;21/10/2019;9;0;620;São Paulo;Feminino;41;9;0;2;0;0; $370,22 
345781;12/10/2019;18;0;676;São Paulo;Feminino;34;1;631;1;1;1; $169,36 
345782;09/10/2019;21;0;572;Minas Gerais;Masculino;26;4;1182,9;2;0;0; $251,78 
345783;09/07/2019;113;1;668;Minas Gerais;Masculino;47;7;1068,5;1;0;1; $658,16 
345784;25/10/2019;5;0;695;São Paulo;Masculino;46;7;495,1;1;1;0; $554,20 
345785;20/10/2019;10;0;730;Rio de Janeiro;Feminino;33;9;0;2;0;0; $735,74 
345786;21/07/2019;101;1;807;São Paulo;Masculino;43;1;1058;2;1;0; $145,37 
345787;12/08/2019;79;1;592;São Paulo;Masculino;54;8;0;1;1;1; $119,74 
345788;11/10/2019;19;0;726;São Paulo;Feminino;31;9;1147,2;2;1;1; $409,08 
345789;17/10/2019;13;0;514;Rio de Janeiro;Masculino;30;7;0;1;0;1; $520,88 
345790;06/10/2019;24;0;567;São Paulo;Masculino;42;2;0;2;1;1; $699,94 
345791;10/08/2019;81;1;850;São Paulo;Masculino;33;10;0;1;1;0; $20,26 
345792;02/09/2019;58;1;671;Minas Gerais;Masculino;45;6;995,6;1;1;1; $453,64 
345793;26/10/2019;4;0;670;São Paulo;Masculino;37;4;1705,6;2;1;0; $826,05 
345794;29/10/2019;1;0;694;São Paulo;Feminino;30;9;0;2;1;1; $112,33 
345795;26/08/2019;65;1;547;Minas Gerais;Feminino;39;6;746;3;1;1; $357,28 
345796;04/07/2019;118;1;751;Minas Gerais;Masculino;50;2;968,9;1;1;0; $321,69 
345797;18/10/2019;12;0;594;Minas Gerais;Feminino;29;3;1308,3;1;1;0; $254,37 
345798;21/10/2019;9;0;673;São Paulo;Masculino;72;1;0;2;0;1; $466,59 
345799;10/10/2019;20;0;610;São Paulo;Masculino;40;0;0;2;1;0; $259,30 
345800;24/10/2019;6;0;512;São Paulo;Feminino;37;1;0;2;0;1; $650,44 
345801;19/10/2019;11;0;767;Minas Gerais;Masculino;20;3;1197,1;2;0;1; $625,56 
345802;27/10/2019;3;0;585;São Paulo;Feminino;67;5;1139,8;2;0;1; $388,11 
345803;13/08/2019;78;1;763;Minas Gerais;Masculino;42;6;1001,6;1;1;0; $139,43 
345804;08/10/2019;22;0;712;São Paulo;Feminino;29;2;0;1;1;1; $601,56 
345805;24/09/2019;36;1;539;Minas Gerais;Feminino;43;3;1162,2;3;1;0; $232,52 
345806;14/07/2019;108;1;668;São Paulo;Feminino;46;2;0;3;1;0; $371,04 
345807;08/10/2019;22;0;703;São Paulo;Masculino;28;2;811,7;2;0;1; $678,38 
345808;26/10/2019;4;0;662;Rio de Janeiro;Masculino;38;4;0;2;1;0; $567,75 
345809;26/10/2019;4;0;725;Minas Gerais;Feminino;39;5;1168;1;1;0; $516,89 
345810;23/10/2019;7;0;703;São Paulo;Masculino;37;8;1059,6;2;0;1; $309,00 
345811;29/08/2019;62;1;659;Minas Gerais;Masculino;67;6;1174,1;1;1;1; $187,80 
345812;27/10/2019;3;0;523;Rio de Janeiro;Masculino;34;7;0;2;1;0; $258,46 
345813;04/07/2019;118;1;635;São Paulo;Feminino;40;10;1235;1;1;0; $549,81 
345814;07/10/2019;23;0;772;Minas Gerais;Masculino;26;7;1524;2;1;0; $330,89 
345815;18/10/2019;12;0;545;São Paulo;Feminino;26;1;0;2;1;1; $831,83 
345816;23/10/2019;7;0;634;Minas Gerais;Masculino;24;8;1031;1;1;1; $656,57 
345817;06/08/2019;85;1;739;Minas Gerais;Masculino;54;8;1264,2;1;1;0; $560,09 
345818;09/10/2019;21;0;771;Minas Gerais;Feminino;36;5;778,5;1;0;0; $415,86 
345819;17/10/2019;13;0;587;Rio de Janeiro;Feminino;34;1;0;2;1;1; $408,05 
345820;19/10/2019;11;0;681;São Paulo;Feminino;79;0;0;2;0;1; $712,37 
345821;16/10/2019;14;0;544;Minas Gerais;Masculino;37;2;797,3;1;1;1; $239,83 
345822;06/10/2019;24;0;696;Rio de Janeiro;Masculino;28;8;0;1;0;0; $736,31 
345823;14/10/2019;16;0;766;Rio de Janeiro;Masculino;41;0;0;2;0;1; $142,85 
345824;03/10/2019;27;0;727;São Paulo;Masculino;34;10;0;2;1;1; $827,66 
345825;26/10/2019;4;0;671;Minas Gerais;Feminino;34;6;372,7;2;0;0; $653,82 
345826;29/10/2019;1;0;693;São Paulo;Feminino;30;6;1279,9;1;1;1; $210,24 
345827;02/10/2019;28;0;850;Minas Gerais;Masculino;38;3;549;1;1;1; $583,65 
345828;22/10/2019;8;0;732;Minas Gerais;Masculino;42;9;1087,5;2;1;1; $272,18 
345829;08/10/2019;22;0;726;Rio de Janeiro;Feminino;48;6;999,1;1;1;0; $268,01 
345830;16/10/2019;14;0;557;São Paulo;Feminino;32;6;1846,9;2;1;0; $62,32 
345831;06/10/2019;24;0;682;São Paulo;Feminino;26;0;1106,5;1;0;1; $466,16 
345832;01/10/2019;29;0;738;Rio de Janeiro;Masculino;31;9;790,2;1;1;1; $77,53 
345833;16/10/2019;14;0;531;Rio de Janeiro;Feminino;36;9;992,4;1;1;0; $513,07 
345834;29/10/2019;1;0;498;São Paulo;Masculino;34;2;0;2;1;1; $618,87 
345835;16/10/2019;14;0;651;São Paulo;Masculino;36;7;0;2;1;0; $57,91 
345836;19/07/2019;103;1;549;Rio de Janeiro;Feminino;39;7;0;1;0;0; $338,58 
345837;08/10/2019;22;0;791;Minas Gerais;Feminino;35;7;524,4;1;1;0; $671,05 
345838;11/10/2019;19;0;650;Rio de Janeiro;Masculino;41;9;0;2;0;1; $798,33 
345839;11/08/2019;80;1;733;Minas Gerais;Masculino;34;3;1003,4;3;1;0; $202,33 
345840;19/10/2019;11;0;811;Minas Gerais;Feminino;34;1;1493;2;1;1; $776,42 
345841;01/10/2019;29;0;707;São Paulo;Masculino;30;8;0;2;1;0; $138,16 
345842;22/10/2019;8;0;712;Minas Gerais;Masculino;28;4;1456,1;1;0;1; $391,18 
345843;02/10/2019;28;0;706;Rio de Janeiro;Feminino;37;7;0;2;1;1; $462,08 
345844;04/09/2019;56;1;756;São Paulo;Masculino;62;3;0;1;1;1; $46,66 
345845;30/10/2019;0;0;777;São Paulo;Feminino;53;10;0;2;1;0; $791,64 
345846;17/10/2019;13;0;646;São Paulo;Masculino;35;6;840,3;1;0;1; $684,40 
345847;27/07/2019;95;1;714;São Paulo;Masculino;46;1;0;1;1;0; $634,03 
345848;24/10/2019;6;0;782;São Paulo;Masculino;39;8;0;2;1;1; $141,46 
345849;19/10/2019;11;0;775;Rio de Janeiro;Masculino;29;10;0;2;1;1; $283,93 
345850;12/08/2019;79;1;479;Minas Gerais;Masculino;35;4;1387,2;1;1;1; $196,88 
345851;19/10/2019;11;0;807;São Paulo;Masculino;42;7;1182,7;1;1;1; $107,86 
345852;17/10/2019;13;0;799;São Paulo;Feminino;22;8;1741,9;2;0;1; $802,64 
