CodCliente;CodJob;CodQuestao;DescQuestaoPOR;Resposta
19398222;4037;122498;Você tem PIX? ;1
19398222;4037;122499;Para quais finalidades você usa o PIX? ;1|2
19443027;4037;122498;Você tem PIX? ;1
19443027;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
19443094;4037;122498;Você tem PIX? ;1
19443094;4037;122499;Para quais finalidades você usa o PIX? ;7
19443576;4037;122498;Você tem PIX? ;1
19443576;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19443967;4037;122498;Você tem PIX? ;1
19443967;4037;122499;Para quais finalidades você usa o PIX? ;1
19444216;4037;122498;Você tem PIX? ;1
19444216;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19444265;4037;122498;Você tem PIX? ;1
19444265;4037;122499;Para quais finalidades você usa o PIX? ;1|3
19444670;4037;122498;Você tem PIX? ;2
19444762;4037;122498;Você tem PIX? ;1
19444762;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
19445313;4037;122498;Você tem PIX? ;1
19445313;4037;122499;Para quais finalidades você usa o PIX? ;2
19445561;4037;122498;Você tem PIX? ;1
19445561;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
19445627;4037;122498;Você tem PIX? ;1
19445627;4037;122499;Para quais finalidades você usa o PIX? ;1|2
19445714;4037;122498;Você tem PIX? ;1
19445714;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
19445860;4037;122498;Você tem PIX? ;1
19445860;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|6
19446307;4037;122498;Você tem PIX? ;1
19446307;4037;122499;Para quais finalidades você usa o PIX? ;2|3|4|6
19446349;4037;122498;Você tem PIX? ;1
19446349;4037;122499;Para quais finalidades você usa o PIX? ;5
19446362;4037;122498;Você tem PIX? ;1
19446362;4037;122499;Para quais finalidades você usa o PIX? ;7
19446537;4037;122498;Você tem PIX? ;2
19446886;4037;122498;Você tem PIX? ;1
19446886;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19450397;4037;122498;Você tem PIX? ;1
19450397;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|6
19451680;4037;122498;Você tem PIX? ;1
19451680;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19451883;4037;122498;Você tem PIX? ;2
19451895;4037;122498;Você tem PIX? ;1
19451895;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
19451982;4037;122498;Você tem PIX? ;1
19451982;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
19452047;4037;122498;Você tem PIX? ;1
19452047;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|6
19452195;4037;122498;Você tem PIX? ;1
19452195;4037;122499;Para quais finalidades você usa o PIX? ;1|2
19452226;4037;122498;Você tem PIX? ;1
19452226;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
19517981;4037;122498;Você tem PIX? ;1
19517981;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
19518204;4037;122498;Você tem PIX? ;1
19518204;4037;122499;Para quais finalidades você usa o PIX? ;1
19620013;4037;122498;Você tem PIX? ;1
19620013;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
19620092;4037;122498;Você tem PIX? ;1
19620092;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19647977;4037;122498;Você tem PIX? ;1
19647977;4037;122499;Para quais finalidades você usa o PIX? ;1|2
19649005;4037;122498;Você tem PIX? ;1
19649005;4037;122499;Para quais finalidades você usa o PIX? ;2
19649171;4037;122498;Você tem PIX? ;1
19649171;4037;122499;Para quais finalidades você usa o PIX? ;1
19650154;4037;122498;Você tem PIX? ;1
19650154;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
19685943;4037;122498;Você tem PIX? ;1
19685943;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
19729442;4037;122498;Você tem PIX? ;1
19729442;4037;122499;Para quais finalidades você usa o PIX? ;1|5|6
19730869;4037;122498;Você tem PIX? ;1
19730869;4037;122499;Para quais finalidades você usa o PIX? ;1|2
19731596;4037;122498;Você tem PIX? ;1
19731596;4037;122499;Para quais finalidades você usa o PIX? ;1
19793880;4037;122498;Você tem PIX? ;1
19793880;4037;122499;Para quais finalidades você usa o PIX? ;1|3|6
19822159;4037;122498;Você tem PIX? ;1
19822159;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
19826190;4037;122498;Você tem PIX? ;1
19826190;4037;122499;Para quais finalidades você usa o PIX? ;1
20000782;4037;122498;Você tem PIX? ;1
20000782;4037;122499;Para quais finalidades você usa o PIX? ;1
20001121;4037;122498;Você tem PIX? ;1
20001121;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20001247;4037;122498;Você tem PIX? ;1
20001247;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20001345;4037;122498;Você tem PIX? ;1
20001345;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20001692;4037;122498;Você tem PIX? ;1
20001692;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20001753;4037;122498;Você tem PIX? ;1
20001753;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4|5
20001805;4037;122498;Você tem PIX? ;1
20001805;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20002837;4037;122498;Você tem PIX? ;1
20002837;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
20002863;4037;122498;Você tem PIX? ;1
20002863;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|6
20002904;4037;122498;Você tem PIX? ;1
20002904;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20003019;4037;122498;Você tem PIX? ;1
20003019;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20003763;4037;122498;Você tem PIX? ;1
20003763;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20004585;4037;122498;Você tem PIX? ;1
20004585;4037;122499;Para quais finalidades você usa o PIX? ;1
20004709;4037;122498;Você tem PIX? ;1
20004709;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20005243;4037;122498;Você tem PIX? ;1
20005243;4037;122499;Para quais finalidades você usa o PIX? ;1
20005314;4037;122498;Você tem PIX? ;1
20005314;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20005377;4037;122498;Você tem PIX? ;1
20005377;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20075183;4037;122498;Você tem PIX? ;1
20075183;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20075270;4037;122498;Você tem PIX? ;1
20075270;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20075298;4037;122498;Você tem PIX? ;1
20075298;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20075300;4037;122498;Você tem PIX? ;3
20077216;4037;122498;Você tem PIX? ;1
20077216;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20077839;4037;122498;Você tem PIX? ;1
20077839;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20077846;4037;122498;Você tem PIX? ;1
20077846;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|6
20078005;4037;122498;Você tem PIX? ;1
20078005;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20078007;4037;122498;Você tem PIX? ;1
20078007;4037;122499;Para quais finalidades você usa o PIX? ;1
20078052;4037;122498;Você tem PIX? ;1
20078052;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4|5|6
20078068;4037;122498;Você tem PIX? ;1
20078068;4037;122499;Para quais finalidades você usa o PIX? ;7
20079522;4037;122498;Você tem PIX? ;1
20079522;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20079592;4037;122498;Você tem PIX? ;1
20079592;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20079680;4037;122498;Você tem PIX? ;1
20079680;4037;122499;Para quais finalidades você usa o PIX? ;1
20079955;4037;122498;Você tem PIX? ;1
20079955;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20080071;4037;122498;Você tem PIX? ;1
20080071;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20080233;4037;122498;Você tem PIX? ;1
20080233;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20080524;4037;122498;Você tem PIX? ;1
20080524;4037;122499;Para quais finalidades você usa o PIX? ;1
20080605;4037;122498;Você tem PIX? ;1
20080605;4037;122499;Para quais finalidades você usa o PIX? ;1
20080613;4037;122498;Você tem PIX? ;1
20080613;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20080730;4037;122498;Você tem PIX? ;1
20080730;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
20080858;4037;122498;Você tem PIX? ;1
20080858;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20080958;4037;122498;Você tem PIX? ;1
20080958;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20081207;4037;122498;Você tem PIX? ;1
20081207;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|6
20081432;4037;122498;Você tem PIX? ;1
20081432;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20081850;4037;122498;Você tem PIX? ;1
20081850;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20082186;4037;122498;Você tem PIX? ;1
20082186;4037;122499;Para quais finalidades você usa o PIX? ;2
20082413;4037;122498;Você tem PIX? ;1
20082413;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20082488;4037;122498;Você tem PIX? ;1
20082488;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|7
20082534;4037;122498;Você tem PIX? ;1
20082534;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20082766;4037;122498;Você tem PIX? ;1
20082766;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4
20082935;4037;122498;Você tem PIX? ;1
20082935;4037;122499;Para quais finalidades você usa o PIX? ;1
20082941;4037;122498;Você tem PIX? ;1
20082941;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20083045;4037;122498;Você tem PIX? ;1
20083045;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6|7
20083229;4037;122498;Você tem PIX? ;1
20083229;4037;122499;Para quais finalidades você usa o PIX? ;1|3|4|5
20083504;4037;122498;Você tem PIX? ;1
20083504;4037;122499;Para quais finalidades você usa o PIX? ;1
20083617;4037;122498;Você tem PIX? ;1
20083617;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20083636;4037;122498;Você tem PIX? ;1
20083636;4037;122499;Para quais finalidades você usa o PIX? ;1|4|5
20083992;4037;122498;Você tem PIX? ;1
20083992;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20084427;4037;122498;Você tem PIX? ;1
20084427;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20084807;4037;122498;Você tem PIX? ;1
20084807;4037;122499;Para quais finalidades você usa o PIX? ;1
20132836;4037;122498;Você tem PIX? ;1
20132836;4037;122499;Para quais finalidades você usa o PIX? ;2
20132879;4037;122498;Você tem PIX? ;1
20132879;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20133611;4037;122498;Você tem PIX? ;1
20133611;4037;122499;Para quais finalidades você usa o PIX? ;1
20133739;4037;122498;Você tem PIX? ;1
20133739;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20134068;4037;122498;Você tem PIX? ;1
20134068;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20134259;4037;122498;Você tem PIX? ;1
20134259;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4
20134260;4037;122498;Você tem PIX? ;1
20134260;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
20135356;4037;122498;Você tem PIX? ;1
20135356;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20135372;4037;122498;Você tem PIX? ;1
20135372;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4
20135712;4037;122498;Você tem PIX? ;1
20135712;4037;122499;Para quais finalidades você usa o PIX? ;1
20135739;4037;122498;Você tem PIX? ;1
20135739;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20135885;4037;122498;Você tem PIX? ;1
20135885;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20135895;4037;122498;Você tem PIX? ;1
20135895;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20136032;4037;122498;Você tem PIX? ;1
20136032;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20175703;4037;122498;Você tem PIX? ;1
20175703;4037;122499;Para quais finalidades você usa o PIX? ;1
20175728;4037;122498;Você tem PIX? ;1
20175728;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20175794;4037;122498;Você tem PIX? ;1
20175794;4037;122499;Para quais finalidades você usa o PIX? ;2|4|5|6
20175818;4037;122498;Você tem PIX? ;1
20175818;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20175954;4037;122498;Você tem PIX? ;1
20175954;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
20175961;4037;122498;Você tem PIX? ;1
20175961;4037;122499;Para quais finalidades você usa o PIX? ;2|6
20181015;4037;122498;Você tem PIX? ;1
20181015;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20181017;4037;122498;Você tem PIX? ;1
20181017;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|6
20181078;4037;122498;Você tem PIX? ;1
20181078;4037;122499;Para quais finalidades você usa o PIX? ;2|4
20181145;4037;122498;Você tem PIX? ;1
20181145;4037;122499;Para quais finalidades você usa o PIX? ;2
20181416;4037;122498;Você tem PIX? ;1
20181416;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20181573;4037;122498;Você tem PIX? ;1
20181573;4037;122499;Para quais finalidades você usa o PIX? ;2
20181726;4037;122498;Você tem PIX? ;1
20181726;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|6
20181732;4037;122498;Você tem PIX? ;1
20181732;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4
20218158;4037;122498;Você tem PIX? ;1
20218158;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20218393;4037;122498;Você tem PIX? ;1
20218393;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
20218543;4037;122498;Você tem PIX? ;1
20218543;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4
20218937;4037;122498;Você tem PIX? ;1
20218937;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20218939;4037;122498;Você tem PIX? ;1
20218939;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20219052;4037;122498;Você tem PIX? ;1
20219052;4037;122499;Para quais finalidades você usa o PIX? ;2
20219352;4037;122498;Você tem PIX? ;1
20219352;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20219439;4037;122498;Você tem PIX? ;1
20219439;4037;122499;Para quais finalidades você usa o PIX? ;1|3
20219612;4037;122498;Você tem PIX? ;1
20219612;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20219760;4037;122498;Você tem PIX? ;1
20219760;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4
20219768;4037;122498;Você tem PIX? ;1
20219768;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20219809;4037;122498;Você tem PIX? ;1
20219809;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20219819;4037;122498;Você tem PIX? ;1
20219819;4037;122499;Para quais finalidades você usa o PIX? ;2
20220349;4037;122498;Você tem PIX? ;1
20220349;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4|5
20220499;4037;122498;Você tem PIX? ;1
20220499;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4|6
20220605;4037;122498;Você tem PIX? ;1
20220605;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20221138;4037;122498;Você tem PIX? ;1
20221138;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20221145;4037;122498;Você tem PIX? ;1
20221145;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|6
20221229;4037;122498;Você tem PIX? ;1
20221229;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20221351;4037;122498;Você tem PIX? ;1
20221351;4037;122499;Para quais finalidades você usa o PIX? ;1
20221441;4037;122498;Você tem PIX? ;1
20221441;4037;122499;Para quais finalidades você usa o PIX? ;1
20221945;4037;122498;Você tem PIX? ;1
20221945;4037;122499;Para quais finalidades você usa o PIX? ;6
20221953;4037;122498;Você tem PIX? ;1
20221953;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|6
20221954;4037;122498;Você tem PIX? ;1
20221954;4037;122499;Para quais finalidades você usa o PIX? ;4
20222256;4037;122498;Você tem PIX? ;1
20222256;4037;122499;Para quais finalidades você usa o PIX? ;2
20222293;4037;122498;Você tem PIX? ;1
20222293;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20222333;4037;122498;Você tem PIX? ;1
20222333;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20222382;4037;122498;Você tem PIX? ;1
20222382;4037;122499;Para quais finalidades você usa o PIX? ;1|2|4
20222472;4037;122498;Você tem PIX? ;1
20222472;4037;122499;Para quais finalidades você usa o PIX? ;3
20222535;4037;122498;Você tem PIX? ;1
20222535;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20222595;4037;122498;Você tem PIX? ;1
20222595;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4
20222890;4037;122498;Você tem PIX? ;1
20222890;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20223035;4037;122498;Você tem PIX? ;1
20223035;4037;122499;Para quais finalidades você usa o PIX? ;1
20223389;4037;122498;Você tem PIX? ;1
20223389;4037;122499;Para quais finalidades você usa o PIX? ;1
20223395;4037;122498;Você tem PIX? ;1
20223395;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20223399;4037;122498;Você tem PIX? ;2
20223413;4037;122498;Você tem PIX? ;1
20223413;4037;122499;Para quais finalidades você usa o PIX? ;1
20223423;4037;122498;Você tem PIX? ;1
20223423;4037;122499;Para quais finalidades você usa o PIX? ;2
20223490;4037;122498;Você tem PIX? ;1
20223490;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20223560;4037;122498;Você tem PIX? ;1
20223560;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5
20224150;4037;122498;Você tem PIX? ;1
20224150;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20224275;4037;122498;Você tem PIX? ;1
20224275;4037;122499;Para quais finalidades você usa o PIX? ;1|6
20224398;4037;122498;Você tem PIX? ;1
20224398;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20224823;4037;122498;Você tem PIX? ;1
20224823;4037;122499;Para quais finalidades você usa o PIX? ;1
20224845;4037;122498;Você tem PIX? ;1
20224845;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20224963;4037;122498;Você tem PIX? ;1
20224963;4037;122499;Para quais finalidades você usa o PIX? ;1|4
20224980;4037;122498;Você tem PIX? ;1
20224980;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
20225040;4037;122498;Você tem PIX? ;1
20225040;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20225055;4037;122498;Você tem PIX? ;1
20225055;4037;122499;Para quais finalidades você usa o PIX? ;1
20225292;4037;122498;Você tem PIX? ;1
20225292;4037;122499;Para quais finalidades você usa o PIX? ;1|4|5
20225581;4037;122498;Você tem PIX? ;1
20225581;4037;122499;Para quais finalidades você usa o PIX? ;5
20226143;4037;122498;Você tem PIX? ;1
20226143;4037;122499;Para quais finalidades você usa o PIX? ;2
20226184;4037;122498;Você tem PIX? ;1
20226184;4037;122499;Para quais finalidades você usa o PIX? ;2
20226192;4037;122498;Você tem PIX? ;1
20226192;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
20226555;4037;122498;Você tem PIX? ;1
20226555;4037;122499;Para quais finalidades você usa o PIX? ;2
20227158;4037;122498;Você tem PIX? ;1
20227158;4037;122499;Para quais finalidades você usa o PIX? ;1|2|6
20227550;4037;122498;Você tem PIX? ;1
20227550;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4
20227957;4037;122498;Você tem PIX? ;1
20227957;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4
20228046;4037;122498;Você tem PIX? ;1
20228046;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20228281;4037;122498;Você tem PIX? ;1
20228281;4037;122499;Para quais finalidades você usa o PIX? ;1
20228697;4037;122498;Você tem PIX? ;1
20228697;4037;122499;Para quais finalidades você usa o PIX? ;1|3|5
20229128;4037;122498;Você tem PIX? ;1
20229128;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20229194;4037;122498;Você tem PIX? ;1
20229194;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20229432;4037;122498;Você tem PIX? ;1
20229432;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20229823;4037;122498;Você tem PIX? ;1
20229823;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3
20229945;4037;122498;Você tem PIX? ;1
20229945;4037;122499;Para quais finalidades você usa o PIX? ;1|2|6
20230339;4037;122498;Você tem PIX? ;1
20230339;4037;122499;Para quais finalidades você usa o PIX? ;2|4
20230356;4037;122498;Você tem PIX? ;1
20230356;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
20230668;4037;122498;Você tem PIX? ;1
20230668;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20230702;4037;122498;Você tem PIX? ;1
20230702;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|7
20230848;4037;122498;Você tem PIX? ;1
20230848;4037;122499;Para quais finalidades você usa o PIX? ;1|2|5|6
20230910;4037;122498;Você tem PIX? ;3
20230961;4037;122498;Você tem PIX? ;1
20230961;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6|7
20231023;4037;122498;Você tem PIX? ;1
20231023;4037;122499;Para quais finalidades você usa o PIX? ;1
20231285;4037;122498;Você tem PIX? ;1
20231285;4037;122499;Para quais finalidades você usa o PIX? ;2
20231455;4037;122498;Você tem PIX? ;1
20231455;4037;122499;Para quais finalidades você usa o PIX? ;1
20231555;4037;122498;Você tem PIX? ;1
20231555;4037;122499;Para quais finalidades você usa o PIX? ;1|2
20231557;4037;122498;Você tem PIX? ;1
20231557;4037;122499;Para quais finalidades você usa o PIX? ;7
20231591;4037;122498;Você tem PIX? ;1
20231591;4037;122499;Para quais finalidades você usa o PIX? ;1
20231595;4037;122498;Você tem PIX? ;1
20231595;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
20231600;4037;122498;Você tem PIX? ;1
20231600;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5
20232022;4037;122498;Você tem PIX? ;1
20232022;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6|7
20232077;4037;122498;Você tem PIX? ;1
20232077;4037;122499;Para quais finalidades você usa o PIX? ;1
20232138;4037;122498;Você tem PIX? ;1
20232138;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5
20232168;4037;122498;Você tem PIX? ;1
20232168;4037;122499;Para quais finalidades você usa o PIX? ;1|3|4|5
20232192;4037;122498;Você tem PIX? ;1
20232192;4037;122499;Para quais finalidades você usa o PIX? ;2
20232753;4037;122498;Você tem PIX? ;1
20232753;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|5|6
20232903;4037;122498;Você tem PIX? ;1
20232903;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4|5|6
20233137;4037;122498;Você tem PIX? ;1
20233137;4037;122499;Para quais finalidades você usa o PIX? ;2
20233499;4037;122498;Você tem PIX? ;1
20233499;4037;122499;Para quais finalidades você usa o PIX? ;2
20233512;4037;122498;Você tem PIX? ;1
20233512;4037;122499;Para quais finalidades você usa o PIX? ;1
20233647;3794;57625;Qual seu estado civil? ;2
20233647;3794;57627;Você tem filhos?;1
20233647;3794;57724;Você tem alguma atividade remunerada, mensal?;10
20233647;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;3
